classif1,collar
"ECO_ISIC2_1","blue"
"ECO_ISIC2_2","blue"
"ECO_ISIC2_3","blue"
"ECO_ISIC2_5","blue"
"ECO_ISIC2_7","blue"
"ECO_ISIC3_TOTAL","total"
"ECO_ISIC3_A","blue"
"ECO_ISIC3_B","blue"
"ECO_ISIC3_C","blue"
"ECO_ISIC3_D","blue"
"ECO_ISIC3_E","blue"
"ECO_ISIC3_F","blue"
"ECO_ISIC3_G","blue"
"ECO_ISIC3_H","blue"
"ECO_ISIC3_I","blue"
"ECO_ISIC3_J","white"
"ECO_ISIC3_K","white"
"ECO_ISIC3_L","white"
"ECO_ISIC3_M","white"
"ECO_ISIC3_N","white"
"ECO_ISIC3_O","white"
"ECO_ISIC3_P","white"
"ECO_ISIC3_Q","white"
"ECO_ISIC3_X","neither"
"ECO_AGGREGATE_TOTAL","total"
"ECO_AGGREGATE_AGR","aggr-blue"
"ECO_AGGREGATE_MAN","aggr-blue"
"ECO_AGGREGATE_CON","aggr-blue"
"ECO_AGGREGATE_MEL","aggr-blue"
"ECO_AGGREGATE_MKT","aggr-white"
"ECO_AGGREGATE_PUB","aggr-white"
