"","time","source","aggr-blue","aggr-white","blue","total","white"
"1",2002,"BX:375",6110.07984247315,4916.369437982,4655.34919738882,5802.62150363424,6632.82366549278
"2",2003,"BX:375",28405.1871657025,6021.46050976952,19843.8569827416,22981.8588765031,5785.15168707304
"3",2004,"BX:375",574.411660808027,789.73895527181,608.720193537472,783.460384667887,814.870950086641
"4",2005,"BX:375",485.851469643902,852.446970501423,572.347156280332,763.074753156104,884.046649805852
"5",2006,"BX:375",562.239694363347,838.382094571635,618.680090881378,811.275459514539,876.137064898608
"6",2007,"BX:375",595.211519117055,890.369813954303,655.720789269564,850.455250864576,942.008930535114
"7",2008,"BX:375",641.553924256596,860.268636137952,675.480592474089,854.363346280767,911.125183428123
"8",2009,"BX:375",666.014983393542,934.112288679032,717.300849870233,908.9999840925,984.265427063084
"9",2010,"BX:375",672.81267332942,919.095322886055,721.626251652769,909.095125657897,986.30118103131
"10",2011,"BX:375",725.078495885261,933.567449038234,763.84686907721,925.196001585871,971.5973457119
"11",2012,"BX:375",744.75161250834,978.358632423176,802.524678487735,962.430125956549,1003.72933174917
"12",2013,"BX:375",793.923157815009,998.821656158496,836.423576041023,1003.22339461877,1041.91228837703
"13",2014,"BX:375",785.542184796316,1012.42693669911,830.561454996566,1011.52021352684,1078.3625272781
"14",2015,"BX:375",799.903429613041,1024.15136055491,846.535025262847,1029.55296879094,1095.33119322341
"15",2016,"BX:375",806.072537843809,1060.37998977624,858.370748344579,1058.43105081148,1158.61558368763
"16",2017,"BX:375",801.678475422015,1025.77902460986,847.445242253838,1035.0611025999,1121.9536022106
