"","time","source","aggr-blue","aggr-white","blue","total","white"
"1",2002,"BX:375",3868.22422422422,3112.29996842438,2947.41551759621,3674,4198.89612878498
"2",2003,"BX:375",18423.8441394542,3905.08152924919,12870.7786519037,14906,3752.26183953033
"3",2004,"BX:375",373.370842824601,513.43498273878,395.839164101129,509,529.854706927176
"4",2005,"BX:375",319.670870501384,561.960270747498,376.89012753897,503,582.303722816071
"5",2006,"BX:375",361.843304424519,539.423893925044,397.971972595427,522,563.513367174281
"6",2007,"BX:375",394.007974010632,589.65804204503,434.459076280769,563,623.548883524442
"7",2008,"BX:375",453.217716422203,607.383494565866,476.973545416492,603,643.77899408284
"8",2009,"BX:375",478.564577733767,670.747775852109,515.076632443532,653,706.850493653032
"9",2010,"BX:375",469.491152889135,641.753086419753,503.423500515015,634,688.571666666667
"10",2011,"BX:375",499.938428007084,643.734797483721,527.128688010044,639,670.362120798032
"11",2012,"BX:375",535.713982488724,704.446510145543,577.549524172059,693,722.465286874509
"12",2013,"BX:375",590.326869806094,743.38474522629,622.217483044461,746,774.810504090789
"13",2014,"BX:375",598.642286013894,771.59706959707,632.964432182537,771,821.904825026511
"14",2015,"BX:375",621.681184210526,796.051967493584,658.24479285011,800,851.432995194874
"15",2016,"BX:375",639.466319895969,840.612687113996,680.491722595078,839,918.620266388091
