"","time","source","aggr-blue"
"1",1996,"DA:3092",1158.55070858069
"2",1997,"DA:3092",1150.42342787216
"3",1998,"DA:3092",1097.98550304495
"4",1999,"DA:3092",1086.98932548404
"5",2000,"DA:3092",1092.40541146826
"6",2001,"DA:3092",1121.26808140101
"7",2002,"DA:3092",1139.82239819552
"8",2003,"DA:3092",1100.3283901699
"9",2004,"DA:3092",1148.76889247491
"10",2005,"DA:3092",1087.52283338692
"11",2006,"DA:3092",1067.29271518101
"12",2007,"DA:3092",1066.0636243232
"13",2008,"DA:3092",1085.9678678629
