collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_TOTAL,ISIC-Rev.3.1: Total,CUR_TYPE_LCU,Currency: Local currency,,,,,,,2002,4765,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_TOTAL,ISIC-Rev.3.1: Total,CUR_TYPE_PPP2011,Currency: Constant 2011 PPP $,,,,,,,2002,3674,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_TOTAL,ISIC-Rev.3.1: Total,CUR_TYPE_USD,Currency: U.S. dollars,,,,,,,2002,1355,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_A,"ISIC-Rev.3.1: A. Agriculture, hunting and forestry",CUR_TYPE_LCU,Currency: Local currency,,,,,,,2002,3181,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_A,"ISIC-Rev.3.1: A. Agriculture, hunting and forestry",CUR_TYPE_PPP2011,Currency: Constant 2011 PPP $,,,,,,,2002,2453,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_A,"ISIC-Rev.3.1: A. Agriculture, hunting and forestry",CUR_TYPE_USD,Currency: U.S. dollars,,,,,,,2002,905,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_B,ISIC-Rev.3.1: B. Fishing,CUR_TYPE_LCU,Currency: Local currency,,,,,,,2002,29534,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_B,ISIC-Rev.3.1: B. Fishing,CUR_TYPE_PPP2011,Currency: Constant 2011 PPP $,,,,,,,2002,22768,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_B,ISIC-Rev.3.1: B. Fishing,CUR_TYPE_USD,Currency: U.S. dollars,,,,,,,2002,8399,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
YI,Yearly indicators,PER,Peru,BX:375,PER - HS - Encuesta Nacional de Hogares,EAR_4MTH_SEX_ECO_CUR_NB,Mean nominal monthly earnings of employees by sex and economic activity -- Harmonized series null,SEX_T,Sex: Total,ECO_ISIC3_C,ISIC-Rev.3.1: C. Mining and quarrying,CUR_TYPE_LCU,Currency: Local currency,,,,,,,2002,1481,,,,,T30:96,Currency: PER - Nuevo sol (PEN),R1:3513,Repository: ILO-STATISTICS - Micro data processing,
