collection,collection.label,ref_area,ref_area.label,source,source.label,indicator,indicator.label,sex,sex.label,classif1,classif1.label,classif2,classif2.label,classif3,classif3.label,classif4,classif4.label,classif5,classif5.label,time,obs_value,obs_status,obs_status.label,note_classif,note_classif.label,note_indicator,note_indicator.label,note_source,note_source.label,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_TOTAL,Economic activity (ISIC-Rev.2): Total,,,,,,,,,1986,1988,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_1,"Economic activity (ISIC-Rev.2): 1. Agriculture, Hunting, Forestry and Fishing",,,,,,,,,1986,19,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_2,Economic activity (ISIC-Rev.2): 2. Mining and Quarrying,,,,,,,,,1986,12,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_3,Economic activity (ISIC-Rev.2): 3. Manufacturing,,,,,,,,,1986,462,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_4,"Economic activity (ISIC-Rev.2): 4. Electricity, Gas and Water",,,,,,,,,1986,8,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_5,Economic activity (ISIC-Rev.2): 5. Construction,,,,,,,,,1986,111,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_6,Economic activity (ISIC-Rev.2): 6. Wholesale and Retail Trade and Restaurants and Hotels,,,,,,,,,1986,573,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_7,"Economic activity (ISIC-Rev.2): 7. Transport, Storage and Communication",,,,,,,,,1986,135,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_8,"Economic activity (ISIC-Rev.2): 8. Financing, Insurance, Real Estate and Business Services",,,,,,,,,1986,90,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_ISIC2_9,"Economic activity (ISIC-Rev.2): 9. Community, Social and Personal Services",,,,,,,,,1986,578,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_TOTAL,Economic activity (Aggregate): Total,,,,,,,,,1986,1988,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_AGR,Economic activity (Aggregate): Agriculture,,,,,,,,,1986,19,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_MAN,Economic activity (Aggregate): Manufacturing,,,,,,,,,1986,462,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_CON,Economic activity (Aggregate): Construction,,,,,,,,,1986,111,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_MEL,"Economic activity (Aggregate): Mining and quarrying; Electricity, gas and water supply",,,,,,,,,1986,20,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_MKT,"Economic activity (Aggregate): Trade, Transportation, Accommodation and Food, and Business and Administrative Services",,,,,,,,,1986,798,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
YI,Yearly indicators,PER,Peru,BA:1532,PER - LFS - Encuesta permanente de Empleo (Urban),EMP_TEMP_SEX_ECO_NB,Employment by sex and economic activity (thousands),SEX_T,Sex: Total,ECO_AGGREGATE_PUB,"Economic activity (Aggregate): Public Administration, Community, Social and other Services and Activities",,,,,,,,,1986,578,,,,,,,S4:32_S5:41_T2:83,Geographical coverage: Main city or metropolitan area | Population coverage: Excluding armed forces and/or conscripts | Age coverage - minimum age: 14 years old,
